# Dimensionless graviational wave background energy density Omega_GW(f) 
#    1:f [Hz]                 2:Omega_GW(f)        
       1.096478196143e+00       3.715378979386e-14 
       1.122018454302e+00       3.707298818740e-14 
       1.148153621497e+00       3.696022064298e-14 
       1.174897554940e+00       3.681445059808e-14 
       1.202264434617e+00       3.663601330590e-14 
       1.230268770812e+00       3.642550316284e-14 
       1.258925411794e+00       3.618340138134e-14 
       1.288249551693e+00       3.591035824917e-14 
       1.318256738556e+00       3.560715249652e-14 
       1.348962882592e+00       3.527451464554e-14 
       1.380384264603e+00       3.491338221553e-14 
       1.412537544623e+00       3.452469499550e-14 
       1.445439770746e+00       3.410856620479e-14 
       1.479108388168e+00       3.366540304474e-14 
       1.513561248436e+00       3.319631754852e-14 
       1.548816618912e+00       3.270259804189e-14 
       1.584893192461e+00       3.218553569761e-14 
       1.621810097359e+00       3.164644959004e-14 
       1.659586907438e+00       3.108675982473e-14 
       1.698243652462e+00       3.050793047100e-14 
       1.737800828749e+00       2.991128333100e-14 
       1.778279410039e+00       2.929841484186e-14 
       1.819700858610e+00       2.867042079608e-14 
       1.862087136663e+00       2.802860089478e-14 
       1.905460717963e+00       2.737442877821e-14 
       1.949844599758e+00       2.670946372795e-14 
       1.995262314969e+00       2.603529460610e-14 
       2.041737944670e+00       2.535337198662e-14 
       2.089296130854e+00       2.466531315998e-14 
       2.137962089502e+00       2.397253694711e-14 
       2.187761623950e+00       2.327647308355e-14 
       2.238721138568e+00       2.257864869038e-14 
       2.290867652768e+00       2.188001049676e-14 
       2.344228815320e+00       2.118162740633e-14 
       2.398832919019e+00       2.048485796789e-14 
       2.454708915685e+00       1.979102774740e-14 
       2.511886431510e+00       1.910143702608e-14 
       2.570395782769e+00       1.841725280830e-14 
       2.630267991895e+00       1.773971371643e-14 
       2.691534803927e+00       1.706982901543e-14 
       2.754228703338e+00       1.640872191351e-14 
       2.818382931264e+00       1.575728637497e-14 
       2.884031503127e+00       1.511649082583e-14 
       2.951209226666e+00       1.448716822252e-14 
       3.019951720402e+00       1.387005615932e-14 
       3.090295432514e+00       1.326590473128e-14 
       3.162277660168e+00       1.267528829647e-14 
       3.235936569296e+00       1.209879931611e-14 
       3.311311214826e+00       1.153690514185e-14 
       3.388441561392e+00       1.099004538299e-14 
       3.467368504525e+00       1.045858259885e-14 
       3.548133892336e+00       9.942801178601e-15 
       3.630780547701e+00       9.442875023367e-15 
       3.715352290972e+00       8.958915850268e-15 
       3.801893963206e+00       8.491071526789e-15 
       3.890451449943e+00       8.039437440382e-15 
       3.981071705535e+00       7.604036617575e-15 
       4.073802778041e+00       7.184870991809e-15 
       4.168693834703e+00       6.781865165280e-15 
       4.265795188016e+00       6.394930633409e-15 
       4.365158322402e+00       6.023896095410e-15 
       4.466835921510e+00       5.668595931152e-15 
       4.570881896149e+00       5.328797340414e-15 
       4.677351412872e+00       5.004258133160e-15 
       4.786300923226e+00       4.694681034524e-15 
       4.897788193684e+00       4.399762363187e-15 
       5.011872336273e+00       4.119158419108e-15 
       5.128613839914e+00       3.852513651481e-15 
       5.248074602498e+00       3.599449744410e-15 
       5.370317963703e+00       3.359576498564e-15 
       5.495408738576e+00       3.132485832944e-15 
       5.623413251904e+00       2.917764559105e-15 
       5.754399373372e+00       2.714975424477e-15 
       5.888436553556e+00       2.523684521680e-15 
       6.025595860744e+00       2.343460244891e-15 
       6.165950018615e+00       2.173867756145e-15 
       6.309573444802e+00       2.014475954615e-15 
       6.456542290347e+00       1.864851351103e-15 
       6.606934480076e+00       1.724565624780e-15 
       6.760829753920e+00       1.593192670829e-15 
       6.918309709189e+00       1.470314837195e-15 
       7.079457843841e+00       1.355518527292e-15 
       7.244359600750e+00       1.248402725783e-15 
       7.413102413009e+00       1.148571956604e-15 
       7.585775750292e+00       1.055641600369e-15 
       7.762471166287e+00       9.692342472334e-16 
       7.943282347243e+00       8.889877736545e-16 
       8.128305161641e+00       8.145492796591e-16 
       8.317637711027e+00       7.455785446817e-16 
       8.511380382024e+00       6.817480942896e-16 
       8.709635899561e+00       6.227431377698e-16 
       8.912509381337e+00       5.682616096109e-16 
       9.120108393559e+00       5.180158757061e-16 
       9.332543007970e+00       4.717297296669e-16 
       9.549925860214e+00       4.291403911706e-16 
       9.772372209558e+00       3.899968676151e-16 
       1.000000000000e+01       3.540618757199e-16 
       1.023292992281e+01       3.211089377228e-16 
